symbol,horizon_days,last_close,pred_close,actual_close,pred_return,actual_return
sh.600612,5,52.3003255,47.973392,50.17952331,-0.08273242990481455,-0.04055045871559626
sh.600595,5,4.09215512,4.031337,4.0042568,-0.014862177472198868,-0.021479713603818618
sh.603797,5,4.0226412,3.6285841,4.09132044,-0.09795978162316987,0.017073170731707332
sh.603976,5,17.14297374,15.901009,16.90947126,-0.0724474734010161,-0.01362088535754813
sz.300135,5,4.31949109,3.7497358,4.31949109,-0.13190332979379848,0.0
sh.688601,5,43.79949075,41.56114,42.0673075,-0.051104534746761354,-0.039548022598870025
sh.688122,5,47.52451548,40.106785,47.2674124,-0.1560821943059052,-0.005409904286308831
sz.301302,5,26.4,24.396658,24.93,-0.0758841687982732,-0.055681818181818166
sh.600018,5,5.19410472,5.1666265,5.29761043,-0.00529027966928286,0.019927536231884035
sz.300455,5,14.3493736,12.916565,14.3493736,-0.09985165196296442,0.0
sh.601727,5,8.15,7.5805535,7.94,-0.06987073231328489,-0.025766871165644134
sh.605080,5,29.66918399,27.500402,30.50353667,-0.07309879301599476,0.02812186139939743
sh.688693,5,38.3,33.741447,35.03,-0.11902225982426973,-0.08537859007832893
sz.301106,5,21.92496696,20.976997,21.6878649,-0.04323699033349504,-0.010814249363867545
sh.603083,5,39.6369393,36.944447,38.11702659,-0.06792887603910669,-0.03834586466165413
sz.300781,5,39.04027197,37.409283,36.95302346,-0.04177709845175104,-0.05346398487192716
sh.603906,5,11.83,10.144998,11.35,-0.14243469173789325,-0.04057480980557904
sh.688334,5,17.21438154,15.498922,16.8844554,-0.09965267633875974,-0.01916572717023679
sh.600403,5,3.7,2.6297681,3.95,-0.2892518559017697,0.06756756756756754
sz.300839,5,8.86,7.9041224,8.66,-0.10788686765235911,-0.022573363431151128
sz.300706,5,23.5,21.444723,23.45,-0.08745859024372504,-0.0021276595744681437
sz.300405,5,5.02,4.6277204,4.96,-0.07814335538096628,-0.01195219123505964
